"registro","bridge5m","bridge20m","rasa5m","rasa20m","laje5m","laje20m"
"865",23.16,19.436,20.269,15.318,26.353,26.256
"866",22.465,19.175,20.079,15.151,26.231,26.158
"867",21.342,18.604,19.008,15.223,26.182,26.085
"868",19.936,18.176,17.106,15.151,26.061,25.987
"869",19.27,17.938,16.392,15.103,25.987,25.89
"870",19.056,17.843,17.249,15.103,25.89,25.793
"871",20.627,18.081,17.296,15.079,25.841,25.768
"872",22.393,18.271,16.915,15.079,25.793,25.623
"873",22.106,18.652,17.415,15.079,22.465,22.274
"874",22.537,18.271,17.368,15.103,22.681,22.585
"875",22.705,18.747,16.415,15.008,23.761,23.569
"876",22.944,18.628,18.414,15.008,24.702,24.484
"877",22.8,18.747,18.39,15.008,21.294,18.794
"878",22.824,19.532,18.937,14.96,21.175,18.129
"879",20.96,18.414,19.46,14.936,18.604,18.033
"880",20.365,18.604,19.389,14.912,18.675,17.891
"881",19.056,18.343,20.269,14.912,18.985,18.129
"882",19.08,18.2,19.984,14.912,19.175,17.011
"883",20.198,18.39,19.888,14.912,18.747,17.439
"884",21.676,19.436,19.413,14.912,19.603,17.819
"885",22.345,18.818,19.888,14.912,19.151,17.986
"886",22.369,18.414,20.246,15.891,19.484,18.105
"887",22.513,18.58,20.365,15.031,20.317,18.39
"888",22.441,18.842,20.412,14.96,20.77,18.723
"889",22.944,18.842,20.436,15.103,20.77,18.794
"890",22.896,19.056,20.293,14.984,21.151,18.2
"891",21.963,18.961,20.126,15.27,18.794,17.915
"892",21.27,18.771,19.674,15.008,19.413,17.724
"893",20.007,18.461,18.271,15.151,19.032,17.915
"894",19.008,18.366,19.103,15.079,18.961,18.2
"895",19.27,18.247,19.222,15.008,18.866,17.891
"896",21.963,18.414,19.365,15.008,18.509,17.772
"897",22.896,18.58,19.294,16.106,20.246,18.105
"898",21.652,18.557,19.555,15.676,19.484,18.033
"899",22.465,18.723,19.722,15.247,19.603,18.39
"900",22.633,18.937,20.222,15.055,20.198,18.699
"901",22.944,19.175,19.793,15.27,20.15,18.985
"902",22.705,18.699,19.508,15.318,20.531,18.699
"903",22.274,19.151,20.222,15.127,20.436,18.129
"904",21.103,18.438,20.579,15.247,19.103,18.747
"905",20.007,18.176,19.674,15.079,19.674,18.889
"906",19.888,18.224,19.508,15.724,19.984,18.818
"907",20.96,18.319,19.175,15.199,19.936,19.318
"908",20.674,18.675,20.031,16.058,19.722,19.032
"909",22.417,18.818,20.055,15.247,19.698,18.842
"910",22.202,18.414,20.103,15.199,19.888,18.557
"911",22.513,18.628,19.698,15.175,19.722,18.414
"912",22.609,18.794,19.674,15.223,20.365,19.246
"913",23.16,18.842,19.817,16.225,20.555,19.603
"914",23.232,19.436,19.508,15.485,20.841,19.46
"915",22.992,19.555,19.389,15.39,21.032,18.414
"916",21.008,18.889,19.555,15.796,19.746,18.889
"917",20.579,18.699,19.865,15.151,19.222,19.08
"918",20.055,18.747,20.055,15.127,19.341,19.056
"919",19.722,18.652,20.198,15.438,20.055,18.39
"920",20.317,18.771,20.341,15.342,19.746,18.985
"921",22.513,18.842,20.365,15.724,19.888,18.889
"922",22.657,19.032,20.436,15.509,20.341,19.032
"923",22.393,19.08,20.555,15.39,20.15,19.246
"924",22.561,19.103,20.841,15.867,20.198,19.579
"925",22.896,19.199,21.056,15.843,20.603,19.246
"926",22.824,19.199,21.318,15.867,20.698,19.103
"927",22.729,19.008,21.437,15.796,20.674,19.294
"928",22.298,19.555,21.294,15.843,20.817,18.985
"929",21.342,19.27,21.342,15.318,19.793,18.985
"930",20.65,18.937,21.127,15.294,20.889,19.484
"931",20.007,18.913,21.127,15.27,21.772,19.841
"932",21.628,19.103,21.27,15.27,20.126,19.151
"933",21.891,19.103,21.318,15.318,20.412,19.389
"934",22.489,19.294,21.127,15.294,20.269,19.151
"935",22.537,19.175,21.079,15.318,20.293,19.127
"936",22.681,19.318,20.841,15.318,21.27,19.318
"937",22.705,19.151,20.484,15.533,20.984,19.698
"938",22.848,19.532,20.269,15.652,21.604,19.841
"939",22.968,19.389,20.246,15.629,21.676,19.841
"940",22.729,19.484,20.198,15.963,21.032,19.103
"941",22.106,19.341,19.389,15.843,20.174,19.674
"942",21.27,19.294,19.746,16.153,19.865,19.508
"943",20.603,19.222,19.912,16.058,19.841,19.365
"944",20.246,19.246,19.698,15.127,20.722,19.984
"945",21.509,19.294,19.365,15.247,19.865,19.651
"946",21.915,19.532,19.484,15.103,20.65,19.841
"947",22.537,19.508,19.651,15.103,20.722,19.936
"948",22.513,19.674,19.746,15.103,21.223,20.031
"949",22.824,19.318,19.865,15.079,20.793,19.817
"950",23.112,19.246,20.031,15.079,20.889,19.793
"951",23.16,19.389,19.579,15.438,20.984,19.746
"952",23.04,19.674,19.46,15.342,21.079,20.055
"953",23.136,19.579,19.199,15.199,20.246,19.27
"954",21.7,19.603,18.961,15.247,20.793,18.675
"955",21.652,19.365,18.247,15.223,20.15,19.222
"956",21.987,19.365,17.986,15.533,20.841,18.985
"957",21.509,19.46,18.033,15.438,21.151,19.888
"958",22.776,19.674,18.39,15.438,21.032,18.842
"959",23.232,19.674,18.366,15.414,21.294,19.579
"960",23.448,19.651,18.319,15.485,21.628,19.77
"961",23.352,19.508,18.343,15.7,21.987,19.603
"962",23.593,19.484,18.271,15.557,21.676,19.365
"963",23.761,19.318,18.247,15.843,22.393,20.341
"964",23.713,19.651,18.557,16.034,22.034,20.15
"965",23.4,19.96,18.771,15.7,22.106,18.438
"966",22.561,19.746,18.842,16.177,19.413,17.819
"967",21.199,19.651,17.534,15.031,19.508,17.796
"968",20.793,19.627,17.463,15.27,19.484,16.939
"969",21.772,19.532,17.225,15.676,20.174,18.414
"970",22.705,19.627,16.987,15.223,21.509,19.984
"971",23.497,19.674,17.463,15.103,20.77,18.818
"972",23.04,19.555,17.558,14.984,20.889,17.415
"973",22.896,19.27,18.224,14.936,21.008,17.249
"974",21.581,19.056,18.461,15.223,21.461,17.986
"975",22.633,18.937,18.176,14.936,21.963,18.129
"976",22.633,19.103,18.129,14.864,21.342,18.628
"977",23.617,19.246,18.105,14.84,21.557,19.318
"978",23.737,19.151,18.057,15.294,22.489,17.249
"979",21.151,18.723,18.033,15.151,19.294,16.749
"980",21.461,17.962,19.032,15.366,19.841,16.63
"981",21.867,17.772,19.008,15.366,19.318,17.748
"982",22.369,18.247,19.008,15.223,22.106,17.534
"983",22.202,18.485,19.008,15.127,21.056,17.986
"984",23.232,18.604,19.341,15.055,21.676,18.39
"985",22.92,18.652,19.175,15.031,21.581,16.701
"986",22.465,18.438,18.081,14.936,22.274,16.677
"987",22.968,18.675,18.485,14.984,21.843,16.868
"988",22.609,18.866,18.438,15.079,21.437,17.177
"989",23.617,19.032,18.247,15.008,21.533,18.39
"990",23.737,18.557,18.533,14.912,22.25,17.106
"991",21.342,18.2,18.747,14.697,18.057,16.392
"992",21.485,17.701,18.628,14.745,17.701,16.201
"993",21.008,17.51,17.463,14.745,18.129,15.605
"994",21.199,17.629,17.653,14.17,21.127,15.891
"995",23.112,17.796,17.249,14.337,21.294,15.939
"996",21.437,17.867,17.582,14.242,20.793,16.272
"997",21.557,17.32,17.867,14.17,21.223,15.891
"998",19.936,16.868,17.486,13.738,19.222,16.177
"999",21.533,16.844,17.034,14.266,22.705,15.963
"1000",22.13,17.225,16.487,14.194,20.46,16.01
"1001",23.737,17.486,16.796,14.146,20.15,16.558
"1002",24.195,17.463,16.534,14.433,22.657,17.439
"1003",23.569,17.534,16.963,14.505,21.294,16.439
"1004",21.318,17.391,16.892,14.529,20.507,16.082
"1005",21.223,16.844,16.987,14.553,19.698,16.701
"1006",22.609,16.773,17.368,14.768,22.321,16.392
"1007",22.274,16.725,17.486,14.649,22.178,16.296
"1008",21.604,16.511,18.604,14.625,21.7,15.963
"1009",21.294,16.487,19.103,14.601,21.079,16.01
"1010",21.294,16.558,19.294,14.577,20.96,16.01
"1011",22.202,16.392,19.246,14.577,22.513,16.058
"1012",22.058,16.654,17.415,14.601,21.676,15.939
"1013",22.8,17.391,17.249,14.553,21.604,16.368
"1014",23.088,17.082,17.962,14.529,22.872,17.486
"1015",25.283,17.177,16.558,14.505,22.154,16.415
"1016",21.676,17.415,16.725,14.409,20.007,16.106
"1017",22.154,16.368,16.201,13.714,17.272,15.867
"1018",22.034,16.32,16.058,13.882,18.818,15.748
"1019",19.77,16.368,15.963,13.666,21.032,15.843
"1020",20.436,16.344,16.058,14.649,19.579,15.772
"1021",19.936,16.487,15.652,14.361,21.175,15.557
"1022",19.722,16.463,15.7,13.642,20.365,15.652
"1023",19.579,16.272,15.533,13.209,18.604,15.509
"1024",19.984,16.32,17.106,13.281,22.848,15.652
"1025",22.345,16.463,16.654,14.266,18.723,15.581
"1026",23.737,16.677,15.891,14.601,20.603,16.082
"1027",22.944,16.654,15.485,15.079,22.489,16.368
"1028",22.465,16.773,16.153,13.642,21.056,16.034
"1029",21.318,16.749,16.606,12.992,22.058,15.939
"1030",19.865,16.534,17.344,12.871,18.937,15.724
"1031",21.032,16.392,17.51,13.473,20.531,15.819
"1032",20.555,16.32,18.343,13.642,20.579,15.796
"1033",19.579,16.249,18.247,14.05,18.652,15.7
"1034",20.198,16.106,18.699,13.834,21.366,16.296
"1035",22.178,16.177,18.723,13.954,20.103,15.939
"1036",22.513,16.272,17.986,13.81,23.785,15.963
"1037",22.633,16.368,18.675,13.738,18.652,15.939
"1038",24.098,16.582,18.129,14.002,19.865,15.963
"1039",23.04,17.296,17.891,13.546,20.603,16.106
"1040",24.05,16.939,17.32,13.401,22.729,16.558
"1041",22.705,16.987,17.51,13.377,19.746,16.058
"1042",20.674,16.439,17.011,13.329,16.892,15.796
"1043",21.581,16.153,17.344,13.281,16.63,15.7
"1044",20.079,16.201,18.057,13.257,17.463,15.485
"1045",20.246,16.177,18.509,13.353,19.817,15.39
"1046",19.032,16.177,19.532,13.257,18.319,15.414
"1047",17.819,16.368,19.722,13.257,19.341,15.27
"1048",21.676,16.344,19.508,13.473,18.39,15.557
"1049",22.417,16.439,19.341,13.329,18.105,15.461
"1050",23.4,16.558,19.199,13.449,17.249,15.676
"1051",23.448,17.225,20.15,14.074,18.414,15.796
"1052",23.713,16.606,20.15,14.242,21.39,16.701
"1053",23.497,16.487,20.746,14.577,19.08,16.034
"1054",20.388,16.725,20.936,14.457,17.51,16.082
"1055",20.936,16.701,20.222,14.697,17.748,16.249
"1056",18.889,16.415,20.055,14.433,17.986,16.654
"1057",19.103,16.296,19.341,14.17,17.891,16.582
"1058",20.055,16.32,18.961,14.625,18.842,17.082
"1059",20.65,16.32,18.889,14.481,19.199,17.034
"1060",20.579,16.439,20.269,14.457,19.746,16.654
"1061",21.963,16.415,19.294,14.457,17.058,16.415
"1062",21.724,17.391,19.365,14.314,17.463,16.415
"1063",22.441,17.106,19.365,13.954,18.652,16.463
"1064",23.689,18.652,19.389,14.074,19.555,16.582
"1065",24.315,17.819,19.436,14.601,20.531,18.509
"1066",22.944,17.724,19.651,14.601,17.653,16.796
"1067",20.365,16.868,20.031,14.457,17.962,17.106
"1068",19.365,16.773,20.174,14.481,18.723,17.772
"1069",19.484,16.915,20.555,14.242,19.032,18.01
"1070",19.817,16.915,21.151,14.361,20.365,18.628
"1071",20.579,17.225,20.65,14.337,19.865,18.889
"1072",21.7,17.13,20.412,14.457,19.96,18.057
"1073",21.915,17.225,19.603,14.29,19.912,17.748
"1074",22.92,17.415,19.413,14.433,18.533,17.344
"1075",23.304,17.058,18.937,14.601,19.222,17.177
"1076",23.232,18.557,17.748,14.649,18.604,17.344
"1077",23.545,18.675,17.534,14.864,20.746,17.701
"1078",24.05,17.962,17.082,14.745,20.365,17.582
"1079",20.913,18.2,16.725,14.553,18.414,18.129
"1080",20.269,17.225,17.177,14.553,19.508,18.39
"1081",19.365,17.558,17.082,14.553,19.793,18.414
"1082",19.484,17.629,17.249,14.601,19.96,18.247
"1083",20.484,17.915,16.82,14.266,19.484,18.224
"1084",22.106,17.915,17.153,14.649,19.294,18.461
"1085",22.178,18.081,17.391,14.697,19.46,18.414
"1086",22.896,18.152,18.129,14.745,18.961,18.224
"1087",23.761,18.2,18.366,14.768,19.888,18.224
"1088",24.171,19.008,18.58,14.792,20.222,18.2
"1089",24.026,19.841,18.105,14.936,20.65,18.366
"1090",23.521,18.438,17.915,14.721,22.13,18.675
"1091",23.232,19.579,18.461,14.601,19.056,17.938
"1092",21.581,18.081,18.176,13.978,18.557,17.677
"1093",19.841,18.461,18.985,13.954,18.794,17.962
"1094",19.746,18.39,18.747,14.433,19.318,17.344
"1095",20.007,18.319,18.937,14.625,19.056,17.463
"1096",20.913,18.414,18.652,14.649,21.366,17.32
"1097",22.465,18.699,18.961,14.673,21.294,17.653
"1098",22.896,18.794,18.675,14.601,19.841,17.32
"1099",22.489,18.794,18.081,14.433,18.866,17.51
"1100",22.681,18.366,17.558,14.385,19.365,17.867
"1101",23.785,18.889,17.082,14.361,19.984,17.915
"1102",23.136,18.699,16.963,14.505,21.032,18.461
"1103",23.088,18.652,17.225,14.721,20.674,17.463
"1104",21.915,18.461,17.891,14.481,19.365,17.463
"1105",20.77,18.247,18.366,14.481,19.627,16.392
"1106",19.318,18.2,17.701,13.906,19.08,15.939
"1107",19.389,18.224,17.582,14.266,17.867,16.32
"1108",20.579,18.033,17.153,14.457,18.961,16.677
"1109",22.633,18.271,17.272,14.505,19.46,16.725
"1110",23.521,18.485,17.011,14.361,18.675,17.153
"1111",23.328,18.438,16.868,13.834,19.413,17.344
"1112",23.208,18.39,17.153,13.786,19.341,17.701
"1113",23.905,19.651,17.439,13.858,20.341,17.962
"1114",23.472,19.532,17.486,13.81,21.151,18.343
"1115",23.761,19.532,17.701,13.738,21.795,17.249
"1116",21.581,19.08,18.937,13.738,18.818,16.32
"1117",20.507,18.533,20.079,14.05,18.295,16.225
"1118",19.865,18.057,19.436,13.954,18.461,16.463
"1119",18.889,17.701,19.984,14.146,18.913,15.843
"1120",19.103,17.748,20.484,13.882,18.533,16.725
"1121",19.698,18.58,20.103,13.93,18.152,16.368
"1122",20.77,18.461,20.412,14.002,18.271,16.368
"1123",22.082,18.58,20.126,13.834,17.915,16.582
"1124",22.178,18.438,19.984,13.714,17.938,16.796
"1125",22.417,19.199,19.199,13.978,19.127,17.082
"1126",22.274,19.27,18.343,14.098,20.674,17.772
"1127",22.465,19.103,18.747,14.17,20.96,18.414
"1128",22.274,19.008,19.127,14.218,18.271,16.654
"1129",20.674,18.057,18.771,14.625,19.46,16.677
"1130",18.794,17.629,18.961,13.762,18.771,17.296
"1131",19.318,17.415,18.747,14.122,17.915,16.392
"1132",18.794,17.701,19.032,14.266,17.915,16.272
"1133",18.937,17.582,19.27,14.314,17.796,16.677
