temperatura;int_arraial;dir_arraial;u_arraial;v_arraial;EkT_arraial;EkB_arraial;int_copa;dir_copa;u_copa;v_copa;EkT_copa;EkB_copa;elevacao
18.69;1.16;356.7;1.16;-0.07;-0.03;0.98;2.78;347.21;2.71;-0.62;-0.08;-0.8;-0.23
18.69;1.26;358.9;1.26;-0.02;-0.03;0.87;2.78;348.42;2.73;-0.56;-0.08;-0.88;-0.22
18.69;1.35;0.78544;1.35;0.02;-0.04;0.76;2.78;349.62;2.73;-0.5;-0.08;-0.96;-0.21
18.69;1.44;24.437;1.44;0.06;-0.04;0.63;2.77;350.82;2.74;-0.44;-0.08;-1.05;-0.2
18.69;1.52;39.214;1.52;0.1;-0.04;0.51;2.76;352;2.73;-0.38;-0.08;-1.13;-0.19
18.69;1.59;52.566;1.59;0.15;-0.04;0.38;2.74;353.18;2.73;-0.33;-0.07;-1.22;-0.18
18.69;1.66;64.784;1.65;0.19;-0.05;0.25;2.73;354.36;2.71;-0.27;-0.07;-1.31;-0.17
18.69;1.72;76.094;1.71;0.23;-0.05;0.11;2.7;355.54;2.69;-0.21;-0.07;-1.39;-0.16
18.69;1.77;86.678;1.75;0.27;-0.05;-0.03;2.68;356.72;2.67;-0.15;-0.07;-1.48;-0.15
18.7;1.81;96.683;1.79;0.3;-0.05;-0.17;2.64;357.91;2.64;-0.1;-0.07;-1.56;-0.14
18.7;1.84;10.623;1.81;0.34;-0.05;-0.31;2.61;359.11;2.61;-0.04;-0.07;-1.65;-0.13
18.71;1.87;11.543;1.83;0.37;-0.05;-0.45;2.57;0.32324;2.57;0.01;-0.07;-1.73;-0.12
18.71;1.88;12.437;1.83;0.4;-0.05;-0.59;2.52;15.619;2.52;0.07;-0.07;-1.81;-0.11
18.72;1.88;13.314;1.83;0.43;-0.05;-0.73;2.47;28.285;2.47;0.12;-0.07;-1.89;-0.1
18.73;1.87;14.182;1.81;0.46;-0.05;-0.87;2.42;4.13;2.41;0.17;-0.07;-1.96;-0.09
18.74;1.84;15.049;1.78;0.48;-0.05;-1;2.36;54.745;2.35;0.22;-0.06;-2.04;-0.08
